unique_id,timestamp,x_shape,eval_test,model_version,model_version_note,runtime
5ec96206-23d5-45d5-bbc9-f67dba06c361,1605470485.8284948,"(1000, 4)","{'0.0': {'precision': 0.7868217054263565, 'recall': 0.8565400843881856, 'f1-score': 0.8202020202020202, 'support': 237}, '1.0': {'precision': 0.5277777777777778, 'recall': 0.40860215053763443, 'f1-score': 0.4606060606060607, 'support': 93}, 'accuracy': 0.7303030303030303, 'macro avg': {'precision': 0.6572997416020672, 'recall': 0.6325711174629101, 'f1-score': 0.6404040404040404, 'support': 330}, 'weighted avg': {'precision': 0.7138184167253935, 'recall': 0.7303030303030303, 'f1-score': 0.7188613406795225, 'support': 330}}",0.1,example random forest on toy data,000:00:00
e2dc531b-be76-42ea-853c-c0d6c879026f,1605470488.39029,"(1000, 4)","{'0.0': {'precision': 0.7821011673151751, 'recall': 0.8481012658227848, 'f1-score': 0.8137651821862348, 'support': 237}, '1.0': {'precision': 0.5068493150684932, 'recall': 0.3978494623655914, 'f1-score': 0.4457831325301205, 'support': 93}, 'accuracy': 0.7212121212121212, 'macro avg': {'precision': 0.6444752411918342, 'recall': 0.6229753640941881, 'f1-score': 0.6297741573581777, 'support': 330}, 'weighted avg': {'precision': 0.7045301907729284, 'recall': 0.7212121212121212, 'f1-score': 0.7100611500104208, 'support': 330}}",0.1,example random forest on toy data,000:00:00
54833a1b-f856-42e2-9f95-0a24c0ee5000,1605470520.7505317,"(1000, 4)","{'0.0': {'precision': 0.796078431372549, 'recall': 0.8565400843881856, 'f1-score': 0.8252032520325203, 'support': 237}, '1.0': {'precision': 0.5466666666666666, 'recall': 0.44086021505376344, 'f1-score': 0.4880952380952381, 'support': 93}, 'accuracy': 0.7393939393939394, 'macro avg': {'precision': 0.6713725490196079, 'recall': 0.6487001497209746, 'f1-score': 0.6566492450638792, 'support': 330}, 'weighted avg': {'precision': 0.7257896613190731, 'recall': 0.7393939393939394, 'f1-score': 0.7302000844683771, 'support': 330}}",0.1,example random forest on toy data,000:00:00
3daeef6a-0bfc-4cb6-9c15-337dd838e3a2,1605470522.520654,"(1000, 4)","{'0.0': {'precision': 0.7741935483870968, 'recall': 0.810126582278481, 'f1-score': 0.7917525773195875, 'support': 237}, '1.0': {'precision': 0.45121951219512196, 'recall': 0.3978494623655914, 'f1-score': 0.4228571428571428, 'support': 93}, 'accuracy': 0.693939393939394, 'macro avg': {'precision': 0.6127065302911093, 'recall': 0.6039880223220362, 'f1-score': 0.6073048600883652, 'support': 330}, 'weighted avg': {'precision': 0.6831735927329947, 'recall': 0.693939393939394, 'f1-score': 0.6877911366983531, 'support': 330}}",0.1,example random forest on toy data,000:00:00
287fd670-2859-467d-932e-85845d5c2595,1605470525.9458132,"(1000, 4)","{'0.0': {'precision': 0.7799227799227799, 'recall': 0.8523206751054853, 'f1-score': 0.814516129032258, 'support': 237}, '1.0': {'precision': 0.5070422535211268, 'recall': 0.3870967741935484, 'f1-score': 0.4390243902439024, 'support': 93}, 'accuracy': 0.7212121212121212, 'macro avg': {'precision': 0.6434825167219533, 'recall': 0.6197087246495168, 'f1-score': 0.6267702596380802, 'support': 330}, 'weighted avg': {'precision': 0.7030200861186777, 'recall': 0.7212121212121212, 'f1-score': 0.708695729919176, 'support': 330}}",0.1,example random forest on toy data,000:00:00
c289cdb1-814a-42cb-b894-613f0f3b3642,1605470528.3758128,"(1000, 4)","{'0.0': {'precision': 0.810077519379845, 'recall': 0.8818565400843882, 'f1-score': 0.8444444444444444, 'support': 237}, '1.0': {'precision': 0.6111111111111112, 'recall': 0.4731182795698925, 'f1-score': 0.5333333333333333, 'support': 93}, 'accuracy': 0.7666666666666667, 'macro avg': {'precision': 0.7105943152454781, 'recall': 0.6774874098271404, 'f1-score': 0.6888888888888889, 'support': 330}, 'weighted avg': {'precision': 0.7540051679586564, 'recall': 0.7666666666666667, 'f1-score': 0.7567676767676768, 'support': 330}}",0.1,example random forest on toy data,000:00:00
8298eeb9-b114-411e-917a-a6543945ee52,1605470529.5007257,"(1000, 4)","{'0.0': {'precision': 0.8253968253968254, 'recall': 0.8776371308016878, 'f1-score': 0.8507157464212678, 'support': 237}, '1.0': {'precision': 0.6282051282051282, 'recall': 0.5268817204301075, 'f1-score': 0.5730994152046783, 'support': 93}, 'accuracy': 0.7787878787878788, 'macro avg': {'precision': 0.7268009768009768, 'recall': 0.7022594256158976, 'f1-score': 0.7119075808129731, 'support': 330}, 'weighted avg': {'precision': 0.7698246198246199, 'recall': 0.7787878787878788, 'f1-score': 0.7724784167147744, 'support': 330}}",0.1,example random forest on toy data,000:00:00
e5962764-61e3-408e-aeee-ce77fc4df300,1605470588.0152981,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,example random forest on toy data,000:00:00
3ebf2601-8af9-475f-955b-7834ff997c5a,1605470588.1898632,"(1000, 4)","{'0.0': {'precision': 0.7649402390438247, 'recall': 0.810126582278481, 'f1-score': 0.7868852459016393, 'support': 237}, '1.0': {'precision': 0.43037974683544306, 'recall': 0.3655913978494624, 'f1-score': 0.39534883720930236, 'support': 93}, 'accuracy': 0.6848484848484848, 'macro avg': {'precision': 0.5976599929396339, 'recall': 0.5878589900639717, 'f1-score': 0.5911170415554708, 'support': 330}, 'weighted avg': {'precision': 0.6706550094214626, 'recall': 0.6848484848484848, 'f1-score': 0.6765431670883443, 'support': 330}}",0.1,example random forest on toy data,000:00:00
b8e8a3ab-87d0-4bf2-83e7-a10ce83396b1,1605470588.3647282,"(1000, 4)","{'0.0': {'precision': 0.7803921568627451, 'recall': 0.8396624472573839, 'f1-score': 0.8089430894308942, 'support': 237}, '1.0': {'precision': 0.49333333333333335, 'recall': 0.3978494623655914, 'f1-score': 0.4404761904761905, 'support': 93}, 'accuracy': 0.7151515151515152, 'macro avg': {'precision': 0.6368627450980392, 'recall': 0.6187559548114876, 'f1-score': 0.6247096399535423, 'support': 330}, 'weighted avg': {'precision': 0.69949376114082, 'recall': 0.7151515151515152, 'f1-score': 0.7051024179072959, 'support': 330}}",0.1,example random forest on toy data,000:00:00
60e3ce95-2f5d-458a-815c-9ac7e9ec19ca,1605470588.6270392,"(1000, 4)","{'0.0': {'precision': 0.810077519379845, 'recall': 0.8818565400843882, 'f1-score': 0.8444444444444444, 'support': 237}, '1.0': {'precision': 0.6111111111111112, 'recall': 0.4731182795698925, 'f1-score': 0.5333333333333333, 'support': 93}, 'accuracy': 0.7666666666666667, 'macro avg': {'precision': 0.7105943152454781, 'recall': 0.6774874098271404, 'f1-score': 0.6888888888888889, 'support': 330}, 'weighted avg': {'precision': 0.7540051679586564, 'recall': 0.7666666666666667, 'f1-score': 0.7567676767676768, 'support': 330}}",0.1,example random forest on toy data,000:00:00
de61870f-f5ca-469d-99c9-27d0750f1081,1605470591.937461,"(1000, 4)","{'0.0': {'precision': 0.8253968253968254, 'recall': 0.8776371308016878, 'f1-score': 0.8507157464212678, 'support': 237}, '1.0': {'precision': 0.6282051282051282, 'recall': 0.5268817204301075, 'f1-score': 0.5730994152046783, 'support': 93}, 'accuracy': 0.7787878787878788, 'macro avg': {'precision': 0.7268009768009768, 'recall': 0.7022594256158976, 'f1-score': 0.7119075808129731, 'support': 330}, 'weighted avg': {'precision': 0.7698246198246199, 'recall': 0.7787878787878788, 'f1-score': 0.7724784167147744, 'support': 330}}",0.1,example random forest on toy data,000:00:00
